Company ID,Company Name,Location Name,Location Address,City,Zip Code,Current Deployed Asset(s),Container Size
CID-1 W2,1 WAY DIESEL PERFORMANCE,1 WAY DIESEL PERFORMANCE,"13727 North US Highway 59, Nacogdoches, Texas 75965", Nacogdoches,75965,300100,30
CID-3S 3,3S Grazing,Oakwood Location,"23555 County Road 241, Oakwood, Texas 75855", Oakwood,75855,300030,30
CID-ABE4,Abel Flores,Bullard JF Job,"County Road 3807, Bullard, Texas 75757", Bullard,75757,300099,30
CID-ACC5,Accelerated Diesel,Accelerated Diesel - Tyler,"12614 County Rd 431, Tyler, TX 75706", Tyler,75706,200004,30
CID-ALF6,Alfredo Barajas,Walmart Dist. Job,"14863 Farm to Market Road 645, Palestine, Texas 75803", Palestine,75803,300111,30
CID-ALL7,Allstar Ford,Allstar,"1650 U.S. 259 Business, Kilgore, Texas 75662", Kilgore,75662,300116,30
CID-AME8,American Timber & Steel,Shop,"2999 Farm to Market Road 2864, Nacogdoches, Texas 75965", Nacogdoches,75965,300024,30
CID-ASA9,ASAP INDUSTRIES LLC,ASAP INDUSTRIES LLC,"11345 Texas 19, Lovelady, Texas 75851", Lovelady,75851,300113,30
CID-ASC10,Asco Equipment,Asco Equipment - Tyler,"2602 E Front St, Tyler, TX 75702", Tyler,75702,200012,30
CID-BAN11,Bannister Plumbing,Bannister Plumbing-Jacksonville,"4555 North Jackson Street, Jacksonville, Texas 75766", Jacksonville,75766,300084,30
CID-BEN12,Benjamine Pinson,Benjamine Pinson - Palestine,"1203 W Oak St, Palestine, TX 75801", Palestine,75801,300012,30
CID-BES13,BestBlock,BestBlock,"2500 West Reagan Street, Palestine, Texas 75801", Palestine,75801,300109,30
CID-BLA14,Black Label Pro Diesel,Black Label Pro Diesel - Lindale,"12423 Farm to Market Road 16, Lindale, Texas 75771", Lindale,75771,100002,30
CID-BLU15,Blue Ribbon Fence Company,blue,"1189 Meadows Lane, Longview, Texas 75603", Longview,75603,300063,30
CID-BO 16,Bo Ervin,SITE,"108 Holly Lake Drive, Nacogdoches, Texas 75965", Nacogdoches,75965,300057,30
CID-BYR17,Byrider,Byrider - Byrider Longview,"1007 W Marshall Ave, Longview, TX 75604", Longview,75604,200016,30
CID-C4 18,C4 Steel Solutions,Re-Cal Job,"9549 Farm to Market Road 322, Palestine, Texas 75801", Palestine,75801,300092,30
CID-CAR19,Carol Hampton,Carol Hampton,"3190 An County Road 4493, Palestine, Texas 75803", Palestine,75803,300036,30
CID-CHE20,Cherokee County Solid Waste,Cherokee County Solid Waste - Rusk Cr,"420 Cr 1618, Rusk, TX 75785", Rusk,75785,300040,30
CID-CHR21,Chris Kizer,Chris Kizer - Elkhart,"550 Acr 2113, Elkhart , TX 75839", Elkhart ,75839,300087,30
CID-CHR22,Chris Venable,Chris Venable,"11855 Farm to Market Road 1255, Grand Saline, Texas 75140", Grand Saline,75140,300073,30
CID-CIT23,City Of Alba,City Of Alba - Alba,"150 Kirby Street, Alba , TX 75410", Alba ,75410,300050,30
CID-CLA24,Classic Collision 2031 Crockett,Crockett Shop,"1053 East Loop 304, Crockett, Texas 75835", Crockett,75835,200017,30
CID-COO25,Cook Compression,Cook Compression - Tyler,"2123 Deerbrook Drive, Tyler, TX 75703", Tyler,75703,200018,30
CID-COR26,"Cortex Process Equipment, LLC","Cortex Process Equipment, LLC","3733 Shiloh Road, Tyler, Texas 75707", Tyler,75707,300064,30
CID-CRE27,Crest Process Systems,Crest,"2600 Robertson Road, Tyler, Texas 75701", Tyler,75701,300104,30
