,,,,,,,,,,
*Aluminum*,Price,Max,,*Copper*,Price,Max,,*Insulated Copper*,Price,Max
Aluminum Cans,$0.68,$0.70,,Bare Bright Copper,$4.96,$5.06,,85% MCM,$2.97,$3.12
Aluminum Sheet,$0.52,$0.62,,#1 Copper,$4.80,$4.90,,ICW #1 65%,$2.74,$2.89
Aluminum Painted Siding,$0.52,$0.62,,#2 Copper,$4.77,$4.87,,ICW #2 45%,$1.47,$1.62
Aluminum 6061,$0.52,$0.62,,,,,,ICW #3 30% (Low Grade),$0.68,$0.83
Aluminum 6063,$0.52,$0.62,,*Brass*,Price,Max,,Data/Cat 5 ICW,$1.48,$1.63
Aluminum Cast,$0.53,$0.63,,Yellow Brass - Clean,$2.88,$2.98,,Christmas Lights,$0.48,$0.63
Aluminum Clips,$0.52,$0.62,,Yellow Brass - Dirty,$1.52,$1.62,,,,
Aluminum Wheel - Clean,$0.71,$0.81,,Mixed Brass Shells,$2.70,$2.80,,*Lead*,Price,Max
Aluminum Wheel - Dirty,$0.69,$0.79,,Brass Turnings/Shavings,$2.27,$2.42,,Soft Lead - Clean,$0.37,$0.47
Aluminum Chrome Wheel,$0.62,$0.72,,Red Brass,$3.41,$3.56,,Lead Acid Battery,$0.08,$0.13
Aluminum Truck Wheels,$0.65,$0.75,,Hard Brass,$3.37,$3.52,,Steel Case Battery (Lead Acid),$0.12,$0.14
Ec Wire,$1.41,$1.46,,,,,,Indoor Range Lead,$0.24,$0.34
ACSR-Aluminum Coated Steel Renforced,$0.56,$0.61,,*Radiators/Reefers*,Price,Max,,Lead Wheel Weights,$0.01,$0.02
Insulated Wire Aluminum (Neoprene),$0.56,$0.61,,Brass/Copper Radiators - Clean,$3.01,$3.11,,,,
Aluminum Turnings/Shavings,$0.38,$0.43,,Brass/Copper Radiators - Dirty,$1.91,$2.06,,*Miscellaneous*,Price,Max
Aluminum Die Cast,$0.23,$0.28,,Heater Core,$1.53,$1.68,,Electric Motors,$0.37,$0.40
Aluminum Breakage,$0.05,$0.10,,Aluminum/Copper Reefer - Clean,$2.47,$2.57,,Large Electric Motors,$0.27,$0.30
,,,,Aluminum/Copper Reefer - Dirty,$2.33,$2.43,,Sealed Units,$0.21,$0.24
*Stainless*,Price,Max,,Aluminum Radiators - Clean,$0.51,$0.56,,Alternators,$0.49,$0.54
Stainless - Clean,$0.17,$0.22,,Aluminum Radiators - Dirty,$0.30,$0.35,,Aluminum Nose Starter,$0.36,$0.40
Stainless - Dirty,$0.05,$0.07,,Aluminum/Copper Reefer Ends,$0.91,$1.01,,Steel Nose Starter,$0.31,$0.35
Stainless Turnings/Shavings,$0.16,$0.21,,,,,,,,
,,,,*Prices are subject to change without notice*,,,,,,
