Company ID,Address,City,Zip Code,Company Name,Industry,Latitude,Longitude,Last Outcome,Last Outreach Date,Days Since Last Contact,Next Step Due Countdown,Next Steps Due Date,Contact Status,Close Probability,Priority Score,UrgencyBand,Urgency Score,Totals
CID-W5 001,353 W Greenville St,Alba,75410,W5 Portable Buildings,Construction,32.79350281,-95.64053345,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-BEE101,13368 County Rd 2290,Arp,75750,"Bee Happy Building, Llc",Metal Fabrication,32.33866119,-95.26263428,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-RUD001,11014 FM 3226,Arp,75750,Rudd Manufacturing And Custom Welding,Welding,32.31858063,-95.13729095,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-TIT101,14108 County Rd 227,Arp,75750,Titan Diesel Fabrication,Manufacturing,32.2713982,-95.0226587,Not Contacted,,,14,2026/03/17,Cold,0,75,Medium,75,75
CID-LEV101,13365 County Rd 2299,Arp,75750,Levelup Excavation Land Management,Construction,32.2812596,-95.0380984,Not Contacted,,,14,2026/03/17,Cold,0,70,Medium,75,72
CID-HAR102,509 E Longview St,Arp,75750,Harolds Appliance Repair,Plumbing,32.3498799,-95.3078488,Not Contacted,,,14,2026/03/17,Cold,0,50,Medium,75,60
CID-FUL102,11882 FM 3226,Arp,75750,Full Moon Plumbing,Plumbing,32.305564,-95.1336728,Not Contacted,,,14,2026/03/17,Cold,0,50,Medium,75,60
CID-COM001,11293 Tx-19,Athens,75752,"Commercial Forms, Inc.",Metal Fabrication,32.30655289,-95.84537506,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-RED001,1209 W Corsicana St,Athens,75751,Red Dot Buildings,Metal Fabrication,32.20078278,-95.87775421,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-MIL001,1517 W Corsicana St,Athens,75751,Miller Metal Works,Metal Fabrication,32.19980621,-95.88336945,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-GER001,2120 W Corsicana St,Athens,75751,Gerardo's Welding And General Works,Metal Fabrication,32.19882965,-95.88988495,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-PGM001,6061 County Rd 4628,Athens,75752,Pgm Metal Fabrication,Metal Fabrication,32.16863251,-95.83402252,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
